City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,cape town,-33.93,18.42,64.99,67,40,29.97,ZA,1579375374
88,hukuntsi,-24.0,21.75,81.79,36,51,12.73,BW,1579375403
89,san patricio,19.22,-104.7,89.6,70,75,11.23,MX,1579375403
90,balikpapan,-1.27,116.83,83.84,70,58,3.89,ID,1579375404
91,erzin,36.96,36.2,46.99,100,75,3.36,TR,1579375404
92,novopavlovka,51.22,109.21,0.25,97,100,3.4,RU,1579375404
93,dzhebariki-khaya,62.22,135.8,-17.18,98,100,0.51,RU,1579375404
94,belz,47.68,-3.17,46.99,81,18,9.17,FR,1579375404
95,hillsboro,45.52,-122.99,48.0,93,90,8.05,US,1579375261
96,geraldton,-28.77,114.6,66.2,72,23,5.82,AU,1579375405
97,ayia marina,37.75,23.53,48.99,66,75,5.82,GR,1579375405
98,namibe,-15.2,12.15,79.05,74,41,6.15,AO,1579375405
99,hilo,19.73,-155.09,73.4,78,75,8.05,US,1579375405
100,manuk mangkaw,4.8,119.85,82.76,75,0,7.78,PH,1579375405
101,port alfred,-33.59,26.89,66.99,85,100,4.0,ZA,1579375405
102,nome,64.5,-165.41,3.2,59,1,16.11,US,1579375406
103,berlevag,70.86,29.09,28.89,52,10,17.63,NO,1579375406
104,jalu,29.03,21.55,57.49,63,23,10.51,LY,1579375406
105,itacare,-14.28,-39.0,86.0,66,20,10.29,BR,1579375192
106,vvedenka,49.82,36.51,30.2,100,90,6.71,UA,1579375406
107,alofi,-19.06,-169.92,80.6,83,90,23.04,NU,1579375406
108,isfana,39.84,69.53,32.0,43,0,13.42,KG,1579375407
109,kapaa,22.08,-159.32,73.4,56,90,21.92,US,1579375407
110,pavilosta,56.89,21.19,42.8,81,100,18.34,LV,1579375407
111,ko samui,9.54,99.94,81.73,80,87,14.05,TH,1579375407
112,vao,-22.67,167.48,76.41,75,28,15.39,NC,1579375408
113,port hueneme,34.15,-119.2,66.0,55,1,11.41,US,1579375408
114,katherine,-14.47,132.27,82.4,78,40,10.29,AU,1579375408
115,castro,-24.79,-50.01,80.19,50,64,3.89,BR,1579375408
116,hithadhoo,-0.6,73.08,83.37,78,91,13.22,MV,1579375409
117,aksu,41.12,80.26,23.05,70,97,4.76,CN,1579375409
118,provideniya,64.38,-173.3,-4.47,92,82,8.03,RU,1579375409
119,bethel,41.37,-73.41,28.0,85,90,4.7,US,1579375409
120,la ronge,55.1,-105.28,1.4,70,90,12.75,CA,1579375409
121,khatanga,71.97,102.5,-20.81,95,100,7.94,RU,1579375409
122,lavrentiya,65.58,-171.0,-5.31,79,0,0.4,RU,1579375410
123,praia da vitoria,38.73,-27.07,64.4,93,40,13.89,PT,1579375410
124,nikolskoye,59.7,30.79,35.6,82,75,8.95,RU,1579375410
125,rawson,-43.3,-65.1,60.78,72,0,16.4,AR,1579375410
126,muscle shoals,34.74,-87.67,57.99,87,90,13.87,US,1579375410
127,tumwater,47.01,-122.91,48.99,75,75,13.87,US,1579375410
128,belyy yar,53.6,91.39,6.8,65,0,6.71,RU,1579375411
129,puerto ayora,-0.74,-90.35,82.4,74,40,9.17,EC,1579375411
130,nouakchott,18.09,-15.98,80.6,11,0,12.75,MR,1579375411
131,arman,59.7,150.17,1.09,94,100,6.2,RU,1579375411
132,olafsvik,64.89,-23.71,31.84,64,98,10.76,IS,1579375412
133,makakilo city,21.35,-158.09,73.4,72,90,5.82,US,1579375412
134,noumea,-22.28,166.46,79.0,88,1,2.24,NC,1579375412
135,luderitz,-26.65,15.16,69.8,68,0,21.92,NA,1579375412
136,pacific grove,36.62,-121.92,54.0,61,1,5.82,US,1579375412
137,togur,58.36,82.83,3.54,85,77,10.65,RU,1579375413
138,roblin,51.23,-101.36,-3.68,91,100,15.79,CA,1579375413
139,adrar,20.5,-10.07,69.78,18,0,12.15,MR,1579375413
140,ancud,-41.87,-73.82,69.8,56,0,10.29,CL,1579375413
141,zlotow,53.36,17.04,37.4,86,100,9.17,PL,1579375413
142,saveh,35.02,50.36,42.91,67,100,4.14,IR,1579375414
143,tiksi,71.69,128.87,-1.86,86,100,12.28,RU,1579375414
144,knokke-heist,51.33,3.33,44.01,75,48,9.17,BE,1579375414
145,guerrero negro,27.98,-114.06,65.25,35,49,0.98,MX,1579375414
146,bratsk,56.13,101.61,10.4,78,88,20.13,RU,1579375414
147,omsukchan,62.53,155.8,-28.62,94,91,2.55,RU,1579375414
148,newport,51.59,-3.0,39.2,71,97,4.7,GB,1579375173
149,acari,-15.43,-74.62,71.8,72,92,10.38,PE,1579375415
150,kavaratti,10.57,72.64,80.6,73,74,8.63,IN,1579375415
151,manzhouli,49.6,117.43,-10.12,92,20,2.46,CN,1579375415
152,santa isabel do rio negro,-0.41,-65.02,90.48,53,100,6.13,BR,1579375415
153,asau,46.43,26.4,30.99,92,75,10.29,RO,1579375415
154,richards bay,-28.78,32.04,80.44,81,100,23.09,ZA,1579375416
155,ganganagar,29.92,73.88,51.01,50,0,3.56,IN,1579375416
156,port elizabeth,-33.92,25.57,66.2,77,90,10.29,ZA,1579375416
157,pevek,69.7,170.31,-11.07,90,100,1.81,RU,1579375416
158,lata,40.16,-8.33,57.2,82,40,11.41,PT,1579375416
159,camacha,33.08,-16.33,62.6,72,0,5.82,PT,1579375416
